Src,Eqid,Version,Lat,Lon,Magnitude,Depth,NST,Region
us,c000el2f,D,39.658,25.543,5.7,10.3,500,Aegean Sea
nc,71917221,3,38.839,-122.8258,2.1,2.4,60,Northern California
ak,10633037,1,62.7711,-149.5582,1.2,49.7,9,Central Alaska
uw,60490197,2,48.5327,-119.893,2.9,1,26,Washington
nc,71917216,2,36.3797,-120.9647,1.4,6.6,17,Central California
nc,71917211,1,38.812,-122.811,1.4,2.8,28,Northern California
nn,398986,9,37.3042,-114.3602,1.4,4.4,5,Nevada
ak,10633030,1,62.1765,-148.396,1.8,50,7,Central Alaska
ak,10633029,1,65.6283,-147.823,1.5,14.9,8,northern Alaska
ci,15271185,4,33.7578,-116.7142,1,17.2,44,Southern California
nc,71917206,3,37.3312,-121.6963,1.5,8.1,36,Northern California
nc,71917196,2,37.3315,-121.6988,1.3,7.8,31,Northern California
nc,71917191,2,37.3302,-121.6993,1.3,7.9,28,Northern California
ak,10633019,1,62.0564,-154.0537,1.8,0,8,Central Alaska
se,010813a,A,35.4734,-84.3888,2.2,9.2,12,eastern Tennessee
ak,10633009,2,59.7855,-153.5331,2.5,138.2,41,Southern Alaska
ak,10633004,1,61.2369,-150.8629,2.2,53.6,34,Southern Alaska
ak,10632998,1,61.8634,-151.1028,1.9,65.3,20,Southern Alaska
ak,10632994,1,63.5682,-147.3232,1.9,0,22,Central Alaska
us,c000el16,6,-10.4282,120.1634,4.4,38.7,39,"Sumba region, Indonesia"
nc,71917171,0,38.8367,-122.7852,1.1,2.1,15,Northern California
ak,10632982,1,62.8144,-151.1561,2,111.4,12,Central Alaska
ak,10632978,1,61.2466,-150.3112,1.7,20.3,7,Southern Alaska
ci,15271153,2,33.3265,-116.3803,1.4,14.7,76,Southern California
nc,71917151,3,36.9012,-120.8082,1.8,8.7,47,Central California
us,c000el10,9,39.4913,71.7396,4.7,10,66,Kyrgyzstan
nc,71917146,5,40.3013,-123.9028,2.9,27.9,29,Northern California
ak,10632965,1,63.7252,-149.6833,2,115.9,38,Central Alaska
mb,13975550,2,47.9101,-114.1238,2,6.7,18,western Montana
nc,71917141,0,38.771,-122.738,1,2.2,9,Northern California
ak,10632963,2,63.0981,-151.5039,1,8.4,14,Central Alaska
nc,71917136,2,37.473,-118.671,1,13.3,23,Central California
ci,15271145,2,34.0372,-118.8965,1.9,6.1,31,"Channel Islands region, California"
hv,60448006,4,19.186,-155.3153,1.3,46.6,33,"Island of Hawaii, Hawaii"
nc,71917116,3,35.9303,-120.4807,1.4,5.6,43,Central California
nc,71917121,4,40.4808,-123.834,1.9,25.6,29,Northern California
nc,71917101,0,38.7603,-122.722,1.1,1.8,13,Northern California
nc,71917096,2,40.8463,-121.6575,1.3,11.5,11,Northern California
nc,71917086,2,36.5642,-121.1577,1.1,2.9,20,Central California
nc,71917091,2,40.8437,-121.6615,1.2,10.8,11,Northern California
uw,60490182,2,43.712,-121.3278,1.3,1.6,13,"Newberry Caldera area, Oregon"
ak,10632948,1,61.0569,-151.1127,1.9,43.7,14,Southern Alaska
us,c000ekzy,6,22.8827,123.0641,4.3,19.1,17,southeast of Taiwan
pr,13008001,0,18.0771,-66.9841,2.6,21,4,Puerto Rico
ci,15271113,2,32.7465,-115.8802,1.5,8,35,Southern California
nc,71917071,4,40.8423,-121.6592,1.2,10.6,10,Northern California
nn,398982,9,38.4954,-118.4038,2,0,22,Nevada
nc,71917056,0,38.7902,-122.7637,1.2,2.4,22,Northern California
us,c000ekzg,4,-4.2955,141.9851,4.7,119.2,33,"New Guinea, Papua New Guinea"
nc,71917051,0,38.8412,-122.8363,1.4,2.4,20,Northern California
us,c000ekz5,7,40.2081,142.2035,5.4,38.6,361,"near the east coast of Honshu, Japan"
nc,71917016,3,37.5933,-121.8175,1.7,10.6,53,"San Francisco Bay area, California"
ak,10632926,1,63.9347,-148.8619,1.5,3.8,9,Central Alaska
pr,13008000,0,19.2385,-67.8565,3.2,31,5,Dominican Republic region
ak,10632920,1,65.0969,-148.7374,1.3,16.2,7,northern Alaska
us,c000ekyv,5,37.6816,37.9858,4.3,10.1,28,central Turkey
us,c000ekys,6,37.8101,37.952,4.5,10,38,central Turkey
nn,398980,9,36.7235,-115.6965,1,4.1,16,Nevada
nc,71916971,1,38.8203,-122.8082,1.8,3.4,38,Northern California
nc,71916966,2,38.7967,-122.7398,1,2.3,37,Northern California
nc,71916961,4,38.9577,-122.7532,1.5,2.8,36,Northern California
nc,71916946,3,38.8455,-122.8265,1,2.4,41,Northern California
ak,10632906,1,60.5461,-145.5029,2.5,19.1,15,Southern Alaska
ak,10632904,1,64.5807,-147.0074,1,13.5,7,Central Alaska
ci,15271097,2,33.3555,-116.4268,2,9.7,111,Southern California
nc,71916926,2,36.0452,-120.2547,1.3,9.9,42,Central California
uw,60490117,2,43.5358,-121.7058,1.4,8.4,10,Oregon
ci,15271073,2,33.045,-116.4178,1.3,10.7,71,Southern California
ak,10632891,1,61.0056,-145.9993,2.3,0,10,Southern Alaska
us,c000ekxw,5,19.2215,121.2571,4.5,10,61,"Babuyan Islands region, Philippines"
nc,71916906,0,38.7597,-122.7232,1.4,0.3,8,Northern California
nc,71916901,3,38.813,-122.8168,2,3.1,65,Northern California
ak,10632867,1,62.6818,-151.1342,1.8,104.5,16,Central Alaska
ak,10632707,2,52.3603,-174.5977,2.6,198.6,13,"Andreanof Islands, Aleutian Islands, Alaska"
ci,15271065,2,34.3712,-117.1798,1.3,7.3,60,Southern California
nc,71916891,2,36.0453,-120.2073,1.5,13.8,28,Central California
uu,60009782,4,44.6118,-110.9872,1,7.4,14,"Yellowstone National Park, Wyoming"
ak,10632682,2,52.7073,-169.3013,2.3,5,6,"Fox Islands, Aleutian Islands, Alaska"
ci,15271057,2,31.3448,-116.2178,3.3,10,12,"Baja California, Mexico"
ci,15271049,2,33.9785,-116.9507,1.3,20.2,38,Southern California
nc,71916871,3,36.6443,-121.098,1.7,11.9,45,Central California
ak,10632666,1,63.0485,-148.0906,1.9,57.4,23,Central Alaska
nc,71916866,0,38.7735,-122.746,1.1,0.1,11,Northern California
nc,71916856,0,38.752,-122.6853,1,1.1,7,Northern California
ak,10632657,1,65.0063,-147.3354,1.6,0,13,northern Alaska
us,c000ekws,5,35.1206,141.6627,4.6,19.7,39,"near the east coast of Honshu, Japan"
ak,10632638,2,61.1522,-151.1222,1.8,57.9,20,Southern Alaska
ak,10632617,3,61.6833,-141.2638,2.3,15.9,8,Southern Alaska
ak,10636093,2,63.4101,-149.2156,1,88.4,7,Central Alaska
ak,10636092,2,60.0076,-152.8507,2.3,114.9,9,Southern Alaska
ak,10632596,3,58.9387,-153.6715,2.2,10,12,"Kodiak Island region, Alaska"
ci,15271017,2,36.2935,-118.3268,1.8,0.2,30,Central California
ak,10636090,2,55.2886,-134.6757,2.6,20,6,Southeastern Alaska
nc,71916771,1,38.7867,-122.7627,1.9,1.1,33,Northern California
nc,71916766,3,37.3555,-121.7165,2,8.1,71,Northern California
nc,71916761,2,36.6585,-121.1085,1.1,11.7,13,Central California
ak,10632571,3,67.1841,-142.5896,3.1,45,13,northern Alaska
nc,71916746,2,35.7407,-121.0903,1.3,8.8,31,Central California
ak,10632563,2,63.4263,-147.4484,1.4,5.9,16,Central Alaska
ak,10632560,2,61.3181,-151.8401,1.9,97.5,18,Southern Alaska
ak,10632553,2,61.154,-147.2669,1.8,9.9,16,Southern Alaska
nc,71916726,0,38.8063,-122.811,1.1,2.3,23,Northern California
nc,71916706,3,36.0265,-120.9348,1.9,8.5,75,Central California
nc,71916701,0,38.758,-122.7215,1,1.8,15,Northern California
ci,15271009,2,34.0082,-117.0737,1.2,14.5,36,"Greater Los Angeles area, California"
ak,10632526,3,51.2372,-177.9115,2.4,26.7,14,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71916691,2,36.6305,-121.0912,1.1,12,13,Central California
ak,10632521,3,51.2447,-177.9161,2.5,23.3,15,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71916676,2,36.629,-121.0952,1,11.2,17,Central California
nc,71916671,3,36.6452,-121.1008,2.8,12.4,80,Central California
nc,71916666,3,40.2875,-124.3465,2,19,19,Northern California
